Data operacji;Rodzaj;Wartość;Waluta;Saldo całkowite po operacji
"18-08-2020 15:53:22";"Pobranie prowizji za transakcję";"-0.00002901";"BTC";"0.04276661"
"18-08-2020 15:53:22";"Otrzymanie środków z transakcji na rachunek";"0.00966965";"BTC";"0.04279562"
"18-08-2020 15:53:21";"Pobranie środków z transakcji z rachunku";"-99.02";"EUR";"1.15"
"18-08-2020 15:24:35";"Pobranie prowizji za transakcję";"-0.00070728";"ETH";"0.5970142"
"18-08-2020 15:24:35";"Otrzymanie środków z transakcji na rachunek";"0.2357587";"ETH";"0.59772148"
"18-08-2020 15:24:35";"Pobranie środków z transakcji z rachunku";"-85.34";"EUR";"100.17"
"18-08-2020 15:24:35";"Pobranie prowizji za transakcję";"-0.00012287";"ETH";"0.36196278"
"18-08-2020 15:24:35";"Otrzymanie środków z transakcji na rachunek";"0.04095401";"ETH";"0.36208565"
"18-08-2020 15:24:35";"Pobranie środków z transakcji z rachunku";"-14.82";"EUR";"185.51"
"18-08-2020 13:59:44";"Wpłata na rachunek";"200.00";"EUR";"200.33"
"17-08-2020 16:31:10";"Pobranie prowizji za transakcję";"-0.000492";"ETH";"0.32113164"
"17-08-2020 16:31:10";"Otrzymanie środków z transakcji na rachunek";"0.164";"ETH";"0.32162364"
"17-08-2020 16:31:10";"Pobranie środków z transakcji z rachunku";"-59.69";"EUR";"0.33"
"14-08-2020 18:28:08";"Pobranie środków z transakcji z rachunku";"-19.99";"EUR";"60.02"
"14-08-2020 18:28:08";"Pobranie prowizji za transakcję";"-0.00022774";"ETH";"0.15762364"
"14-08-2020 18:28:08";"Otrzymanie środków z transakcji na rachunek";"0.05296049";"ETH";"0.15785138"
"14-08-2020 18:27:21";"Pobranie środków z transakcji z rachunku";"-19.99";"EUR";"80.01"
"14-08-2020 18:27:21";"Pobranie prowizji za transakcję";"-0.00000855";"BTC";"0.03312597"
"14-08-2020 18:27:21";"Otrzymanie środków z transakcji na rachunek";"0.00198793";"BTC";"0.03313452"
"14-08-2020 14:31:46";"Wpłata na rachunek";"100.00";"EUR";"100.00"
"30-07-2020 00:26:37";"Pobranie środków z transakcji z rachunku";"-125.01";"PLN";"0.01"
"30-07-2020 00:26:37";"Pobranie prowizji za transakcję";"-0.00045298";"ETH";"0.10489089"
"30-07-2020 00:26:37";"Otrzymanie środków z transakcji na rachunek";"0.10534387";"ETH";"0.10534387"
"29-07-2020 21:58:12";"Pobranie środków z transakcji z rachunku";"-124.98";"PLN";"125.02"
"29-07-2020 21:58:12";"Pobranie prowizji za transakcję";"-0.00001308";"BTC";"0.03114659"
"29-07-2020 21:58:12";"Otrzymanie środków z transakcji na rachunek";"0.00303962";"BTC";"0.03115967"
"28-07-2020 17:17:44";"Pobranie prowizji za transakcję";"-0.00000742";"BTC";"0.02812005"
"28-07-2020 17:17:44";"Otrzymanie środków z transakcji na rachunek";"0.00247146";"BTC";"0.02812747"
"28-07-2020 17:17:44";"Pobranie środków z transakcji z rachunku";"-100.09";"PLN";"250.00"
"28-07-2020 11:40:59";"Wpłata na rachunek";"350.00";"PLN";"350.09"
