"Rynek";"Data operacji";"Rodzaj";"Typ";"Kurs";"Ilość";"Wartość";"ID"
"LTC - USDT";"19-02-2021 02:46:26";"Kupno";"Maker";"226.00";"1.64389748";"371.52";"4789bae1-7254-11eb-ad85-0242ac11000c"
"LTC - USDT";"19-02-2021 02:03:22";"Kupno";"Maker";"226.00";"1.16";"262.16";"42ea9ef6-724e-11eb-ad85-0242ac11000c"
"ETH - USDT";"17-02-2021 20:40:34";"Sprzedaż";"Maker";"1825.00";"0.10154182";"185.31";"0077e414-7158-11eb-ad85-0242ac11000c"
"BTC - USDT";"17-02-2021 17:53:10";"Sprzedaż";"Maker";"51000.00";"0.00879151";"448.37";"9dc23ce9-7140-11eb-ad85-0242ac11000c"
"ETH - PLN";"13-02-2021 13:23:23";"Sprzedaż";"Maker";"6731.99";"0.1";"673.20";"43d7f206-6df6-11eb-b295-0242ac110008"
"BTC - PLN";"13-02-2021 12:27:18";"Sprzedaż";"Maker";"175000.00";"0.00442858";"775.00";"6e6b6d48-6dee-11eb-950e-0242ac110003"
"BTC - PLN";"13-02-2021 12:27:17";"Sprzedaż";"Maker";"175000.00";"0.00057142";"100.00";"6d71caac-6dee-11eb-950e-0242ac110003"
"ETH - PLN";"10-02-2021 13:21:10";"Sprzedaż";"Maker";"6584.06";"0.21681973";"1427.55";"75ba6f02-6b9a-11eb-b295-0242ac110008"
"ETH - PLN";"10-02-2021 13:20:38";"Sprzedaż";"Maker";"6584.06";"0.07594098";"500.00";"62352e9d-6b9a-11eb-b295-0242ac110008"
"ETH - PLN";"10-02-2021 13:19:19";"Sprzedaż";"Maker";"6584.06";"0.10725449";"706.17";"339b8dfa-6b9a-11eb-b295-0242ac110008"
"ETH - PLN";"03-02-2021 23:21:00";"Kupno";"Taker";"6049.99";"0.85169231";"5152.73";"18628ec8-666e-11eb-b295-0242ac110008"
"ETH - PLN";"03-02-2021 23:14:48";"Kupno";"Maker";"6019.00";"0.009";"54.17";"3a93dfcf-666d-11eb-b295-0242ac110008"
"ETH - PLN";"03-02-2021 23:14:09";"Kupno";"Maker";"6019.00";"0.0491935";"296.10";"23968ee7-666d-11eb-b295-0242ac110008"
"LTC - PLN";"03-02-2021 22:53:00";"Sprzedaż";"Maker";"570.98";"8.4469186";"4823.02";"2ee0c18e-666a-11eb-950e-0242ac110003"
"LTC - PLN";"03-02-2021 22:51:05";"Sprzedaż";"Maker";"570.98";"1.21505131";"693.77";"ea65c7c4-6669-11eb-950e-0242ac110003"
"LTC - PLN";"03-02-2021 17:29:51";"Kupno";"Maker";"561.00";"9.68618538";"5433.95";"0a6f81da-663d-11eb-950e-0242ac110003"
"BTC - PLN";"03-02-2021 16:23:00";"Sprzedaż";"Maker";"135640.00";"0.01984348";"2691.57";"b37ef8aa-6633-11eb-950e-0242ac110003"
"BTC - PLN";"03-02-2021 16:22:40";"Sprzedaż";"Maker";"135640.00";"0.0119502";"1620.93";"a7b7fc8f-6633-11eb-950e-0242ac110003"
"BTC - PLN";"03-02-2021 16:22:40";"Sprzedaż";"Maker";"135640.00";"0.00837238";"1135.63";"a751c095-6633-11eb-950e-0242ac110003"
"BTC - PLN";"03-02-2021 02:46:17";"Kupno";"Maker";"131650.01";"0.00004522";"5.95";"9b65903b-65c1-11eb-950e-0242ac110003"
"BTC - PLN";"03-02-2021 02:46:17";"Kupno";"Maker";"131650.01";"0.00495054";"651.74";"9b4cb0fe-65c1-11eb-950e-0242ac110003"
"BTC - PLN";"03-02-2021 02:46:16";"Kupno";"Maker";"131650.01";"0.01635867";"2153.62";"9ab2bab7-65c1-11eb-950e-0242ac110003"
"BTC - PLN";"03-02-2021 02:46:16";"Kupno";"Maker";"131650.01";"0.01851332";"2437.28";"9aa32a52-65c1-11eb-950e-0242ac110003"
"ETH - PLN";"02-02-2021 13:22:07";"Sprzedaż";"Maker";"5250.00";"0.3689862";"1937.18";"4457e836-6551-11eb-b295-0242ac110008"
"ETH - PLN";"02-02-2021 12:54:08";"Sprzedaż";"Maker";"5250.00";"0.03872761";"203.32";"5b5200d1-654d-11eb-b295-0242ac110008"
"ETH - PLN";"02-02-2021 12:51:05";"Sprzedaż";"Maker";"5250.00";"0.09523809";"500.00";"ee7d9739-654c-11eb-b295-0242ac110008"
"ETH - PLN";"02-02-2021 12:50:50";"Sprzedaż";"Maker";"5250.00";"0.11133475";"584.51";"e594dc6f-654c-11eb-b295-0242ac110008"
"ETH - PLN";"02-02-2021 12:50:47";"Sprzedaż";"Maker";"5250.00";"0.19066476";"1000.99";"e35d89d4-654c-11eb-b295-0242ac110008"
"ETH - PLN";"02-02-2021 12:50:06";"Sprzedaż";"Maker";"5250.00";"0.1973007";"1035.83";"cb005ae6-654c-11eb-b295-0242ac110008"
"ETH - PLN";"31-01-2021 11:24:09";"Sprzedaż";"Maker";"4995.20";"0.18";"899.14";"74a260e3-63ae-11eb-b295-0242ac110008"
"BTC - PLN";"30-01-2021 23:02:07";"Sprzedaż";"Maker";"128000.00";"0.00859375";"1100.00";"cb298b17-6346-11eb-950e-0242ac110003"
"ETH - PLN";"29-01-2021 10:03:36";"Kupno";"Maker";"5030.00";"0.58620875";"2948.63";"df35417c-6210-11eb-b295-0242ac110008"
"OMG - PLN";"29-01-2021 08:47:54";"Sprzedaż";"Maker";"13.34";"221.59145209";"2956.03";"4bf86d59-6206-11eb-ad85-0242ac11000c"
"OMG - PLN";"23-01-2021 22:21:17";"Kupno";"Taker";"14.00";"85.49214285";"1196.89";"edd2eefd-5dc0-11eb-ad85-0242ac11000c"
"OMG - PLN";"23-01-2021 22:21:17";"Kupno";"Taker";"14.00";"3.64713378";"51.06";"edd2eefc-5dc0-11eb-ad85-0242ac11000c"
"OMG - PLN";"23-01-2021 22:21:17";"Kupno";"Taker";"14.00";"14.9565";"209.39";"edd2eefb-5dc0-11eb-ad85-0242ac11000c"
"OMG - PLN";"23-01-2021 22:21:17";"Kupno";"Taker";"14.00";"7.66923076";"107.37";"edd2eefa-5dc0-11eb-ad85-0242ac11000c"
"OMG - PLN";"23-01-2021 22:21:17";"Kupno";"Taker";"14.00";"1.52140841";"21.30";"edd2eef9-5dc0-11eb-ad85-0242ac11000c"
